,TSW ,Ash ,Protein ,Fat ,Carbohydrates ,Starch ,TDF ,Iron ,Zinc ,Phytic Acid 
TSW,1,,,,,,,,,
Ash,-0.49,1,,,,,,,,
Protein,0.37,-0.68** ,1,,,,,,,
Fat,-0.32,0.5,-0.65** ,1,,,,,,
Carbohydrates,-0.44, 0.68** ,-0.71** , 0.52*  ,1,,,,,
Starch,0.27,-0.17,-0.23,-0.01,-0.19,1,,,,
TDF,0.09,-0.36,0.33,-0.25,-0.55*  ,0.11,1,,,
Iron,0.02, 0.58*  ,-0.64** , 0.73** , 0.70** ,0,-0.37,1,,
Zinc,-0.21,0.51,-0.69** , 0.59*  , 0.67** ,-0.09,-0.33, 0.80***,1,
Phytic Acid,-0.80** , 0.88** ,-0.91***,0.59, 0.95***,0.26,-0.46, 0.79*  , 0.80*  ,1