Crop,Max_Phytic,Min_Phytic,Range_Phytic
Bambara Groundnut,275.6026745,275.6026745,0
Broad Bean,482.5,447.9435872,34.55641278
Chickpea,645.8640962,590.150134,55.71396217
Common Bean,937.2,772.2,165
Cowpea,687.8714,687.8714,0
Hyacinth Bean,650,650,0
Lentil,389,388,1
Lima Bean,657.36,657.36,0
Lupine,717,313,404
Moth Bean,445.2427607,445.2427607,0
Mung Bean,334,334,0
Mungo Bean,743.7020811,743.7020811,0
Pea,582.12,427.68,154.44
Pigeon Pea,557.7606903,525.36,32.40069034
Rice Bean,280,280,0
Sainfoin,2288.236686,1423.450882,864.7858048